epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1060.22,1.00638,0.78973,1.19219,0.91165,0.85513,0.94233,0.73618,0.86284,0.48148,1.10093,0.000944,0.000944,0.000944
82,1072.47,1.03465,0.80526,1.20575,0.88231,0.87079,0.93788,0.72775,0.85685,0.51914,1.09548,0.0009308,0.0009308,0.0009308
83,1084.64,1.00223,0.82423,1.18626,0.88336,0.88363,0.94313,0.73873,0.85566,0.47459,1.0952,0.0009176,0.0009176,0.0009176
84,1096.8,1.01113,0.7695,1.18229,0.88403,0.88947,0.94836,0.74009,0.84562,0.46402,1.09468,0.0009044,0.0009044,0.0009044
85,1108.95,1.02016,0.83294,1.2014,0.89399,0.89037,0.95133,0.75394,0.81938,0.45869,1.084,0.0008912,0.0008912,0.0008912
86,1121.11,1.03799,0.82075,1.21091,0.8967,0.88489,0.95098,0.7528,0.81126,0.44701,1.071,0.000878,0.000878,0.000878
87,1133.25,1.00288,0.75302,1.19201,0.90921,0.87784,0.94942,0.75248,0.83268,0.4544,1.07827,0.0008648,0.0008648,0.0008648
88,1145.35,1.00559,0.77647,1.17394,0.91003,0.87918,0.95537,0.76235,0.8151,0.43954,1.06778,0.0008516,0.0008516,0.0008516
89,1157.48,0.99366,0.75818,1.16813,0.89616,0.89898,0.95374,0.75287,0.82121,0.45396,1.06969,0.0008384,0.0008384,0.0008384
90,1169.64,0.98268,0.73821,1.16101,0.911,0.88972,0.95846,0.75938,0.80839,0.43643,1.06391,0.0008252,0.0008252,0.0008252
91,1181.75,1.00779,0.75091,1.16546,0.91774,0.87369,0.95517,0.76546,0.79268,0.44648,1.06097,0.000812,0.000812,0.000812
92,1193.92,0.98279,0.74941,1.17395,0.90236,0.88332,0.95509,0.76846,0.78252,0.4248,1.05046,0.0007988,0.0007988,0.0007988
93,1206.69,0.98138,0.74425,1.17001,0.91299,0.8792,0.95724,0.76617,0.79872,0.42237,1.05796,0.0007856,0.0007856,0.0007856
94,1220.03,0.98341,0.70893,1.17548,0.91158,0.90603,0.96289,0.77039,0.80666,0.41694,1.05289,0.0007724,0.0007724,0.0007724
95,1232.98,0.96399,0.72198,1.16521,0.92635,0.88958,0.96336,0.77532,0.79687,0.39866,1.05107,0.0007592,0.0007592,0.0007592
96,1246.39,0.98223,0.75254,1.17551,0.88322,0.91229,0.96232,0.76931,0.80075,0.40608,1.05739,0.000746,0.000746,0.000746
97,1259.8,0.94986,0.71246,1.15841,0.91678,0.88854,0.96107,0.78064,0.76667,0.41909,1.03458,0.0007328,0.0007328,0.0007328
98,1272.77,0.9385,0.68053,1.14777,0.8986,0.9029,0.95949,0.77444,0.76827,0.4159,1.03385,0.0007196,0.0007196,0.0007196
99,1285.83,0.95109,0.72658,1.1659,0.92686,0.89115,0.96559,0.78317,0.75525,0.39054,1.02964,0.0007064,0.0007064,0.0007064
100,1299.11,0.9565,0.69372,1.15683,0.92128,0.90446,0.96805,0.77899,0.7659,0.39812,1.04018,0.0006932,0.0006932,0.0006932
101,1312.07,0.97457,0.73732,1.14975,0.89715,0.9222,0.96914,0.78753,0.74825,0.39769,1.02307,0.00068,0.00068,0.00068
102,1325.04,0.93022,0.66573,1.14088,0.93912,0.86968,0.9654,0.79337,0.7446,0.38653,1.01936,0.0006668,0.0006668,0.0006668
103,1338.03,0.94127,0.67357,1.15908,0.92724,0.9029,0.96926,0.79575,0.73858,0.38043,1.02007,0.0006536,0.0006536,0.0006536
104,1350.9,0.92209,0.67162,1.13887,0.925,0.90211,0.96827,0.79268,0.74176,0.38439,1.02062,0.0006404,0.0006404,0.0006404
105,1363.12,0.91676,0.67299,1.13517,0.92312,0.91229,0.9715,0.7927,0.74306,0.37762,1.01283,0.0006272,0.0006272,0.0006272
106,1375.38,0.93034,0.68749,1.129,0.92059,0.8982,0.96763,0.78756,0.7589,0.39916,1.01916,0.000614,0.000614,0.000614
107,1387.61,0.92423,0.66338,1.12859,0.91442,0.91207,0.96857,0.79861,0.72171,0.37184,1.00489,0.0006008,0.0006008,0.0006008
108,1399.82,0.90904,0.65003,1.12558,0.91725,0.92877,0.97473,0.80198,0.72243,0.36184,1.0034,0.0005876,0.0005876,0.0005876
109,1411.99,0.89843,0.64971,1.11652,0.92523,0.92051,0.97294,0.7958,0.74004,0.36398,1.0165,0.0005744,0.0005744,0.0005744
110,1424.16,0.9189,0.65438,1.13416,0.93392,0.91863,0.97517,0.80259,0.71549,0.35919,0.9909,0.0005612,0.0005612,0.0005612
111,1436.32,0.91154,0.61948,1.12192,0.92523,0.92952,0.9762,0.81001,0.7122,0.34205,0.99773,0.000548,0.000548,0.000548
112,1448.72,0.92341,0.68414,1.14438,0.92049,0.93377,0.97718,0.8086,0.71507,0.34284,0.99994,0.0005348,0.0005348,0.0005348
113,1461,0.88921,0.64728,1.12353,0.93554,0.93194,0.97686,0.81724,0.69837,0.33698,0.9886,0.0005216,0.0005216,0.0005216
114,1473.31,0.90389,0.65495,1.11564,0.94407,0.92639,0.97791,0.81828,0.68018,0.34265,0.98503,0.0005084,0.0005084,0.0005084
115,1485.53,0.89254,0.61797,1.1191,0.94475,0.9076,0.97593,0.81496,0.69622,0.33079,0.98824,0.0004952,0.0004952,0.0004952
116,1497.97,0.90318,0.63567,1.11994,0.93649,0.91778,0.97785,0.81524,0.69034,0.334,0.98526,0.000482,0.000482,0.000482
117,1511.12,0.90709,0.63622,1.12603,0.93951,0.93109,0.97886,0.81673,0.69306,0.32867,0.98942,0.0004688,0.0004688,0.0004688
118,1524.04,0.89003,0.62829,1.12861,0.92443,0.93579,0.97904,0.82005,0.68171,0.32623,0.97816,0.0004556,0.0004556,0.0004556
119,1537.23,0.87664,0.63061,1.10547,0.95772,0.91308,0.98016,0.81667,0.6951,0.32578,0.97774,0.0004424,0.0004424,0.0004424
120,1550.13,0.88398,0.59031,1.10168,0.95204,0.92717,0.98126,0.82184,0.68027,0.32484,0.97475,0.0004292,0.0004292,0.0004292
121,1562.99,0.85812,0.57946,1.09469,0.94734,0.92981,0.98127,0.82492,0.66851,0.32311,0.96992,0.000416,0.000416,0.000416
122,1575.99,0.86758,0.61239,1.09983,0.94456,0.92874,0.98167,0.82728,0.66791,0.31314,0.97154,0.0004028,0.0004028,0.0004028
123,1588.97,0.87403,0.59643,1.10752,0.94498,0.92639,0.97938,0.82575,0.66573,0.32657,0.97226,0.0003896,0.0003896,0.0003896
124,1601.93,0.85912,0.58974,1.10352,0.94215,0.93102,0.97986,0.82874,0.65382,0.31431,0.96754,0.0003764,0.0003764,0.0003764
125,1614.96,0.84124,0.54715,1.08999,0.93651,0.93566,0.97916,0.83144,0.6495,0.30975,0.96317,0.0003632,0.0003632,0.0003632
