epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1609.34,0.5401,0.42421,0.98809,0.96741,0.94304,0.97416,0.8676,0.5354,0.37495,0.96975,0.0005084,0.0005084,0.0005084
115,1624.03,0.55101,0.42642,0.99763,0.96765,0.94663,0.97828,0.87163,0.53857,0.35644,0.95356,0.0004952,0.0004952,0.0004952
116,1638.71,0.54692,0.41934,0.98323,0.97453,0.93671,0.97221,0.87691,0.52319,0.33637,0.95524,0.000482,0.000482,0.000482
117,1653.33,0.53309,0.4138,0.98532,0.96691,0.94937,0.97878,0.88245,0.51669,0.32603,0.94075,0.0004688,0.0004688,0.0004688
118,1668.02,0.53269,0.41458,0.98293,0.97392,0.94539,0.98061,0.88002,0.49547,0.35726,0.92023,0.0004556,0.0004556,0.0004556
119,1682.62,0.54232,0.41889,0.99474,0.95521,0.95253,0.98143,0.88025,0.51077,0.36185,0.92151,0.0004424,0.0004424,0.0004424
120,1697.13,0.52972,0.40596,0.98622,0.97408,0.95152,0.98464,0.88393,0.53759,0.35227,0.96256,0.0004292,0.0004292,0.0004292
121,1711.73,0.51784,0.3898,0.98094,0.95342,0.9462,0.97444,0.87688,0.522,0.32844,0.94983,0.000416,0.000416,0.000416
122,1726.36,0.52911,0.40754,0.98284,0.96433,0.94112,0.98041,0.87697,0.52852,0.34918,0.95541,0.0004028,0.0004028,0.0004028
123,1740.95,0.51148,0.39511,0.97503,0.96635,0.9557,0.97988,0.88769,0.49967,0.34014,0.93084,0.0003896,0.0003896,0.0003896
124,1755.64,0.51839,0.40116,0.97799,0.96473,0.95253,0.97973,0.88354,0.4843,0.34834,0.92405,0.0003764,0.0003764,0.0003764
125,1770.28,0.52416,0.40082,0.97992,0.96495,0.95833,0.98245,0.88165,0.50238,0.34105,0.93491,0.0003632,0.0003632,0.0003632
126,1785.01,0.5206,0.39663,0.98172,0.96106,0.96203,0.97743,0.88791,0.50946,0.34701,0.93128,0.00035,0.00035,0.00035
